RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
24461,1014082,1,0,0,0,5414.77,1,1938-09-01,245,1,1,1,0,0,23,52
25153,1014082,1,0,0,0,5414.77,1,1946-09-01,176,1,0,1,0,1,12,54
17262,1014102,1,0,0,0,5657.4,1,1930-09-01,146,0,1,0,0,0,11,65
17424,1014102,1,0,0,0,5657.4,1,1918-09-01,102,0,1,1,0,0,10,67
17509,1014102,1,0,0,0,5657.4,1,1946-09-01,160,1,1,0,0,1,19,55
268302,1014102,1,0,0,0,5657.4,1,2018-09-01,133,1,1,0,0,0,16,64
9090,1015012,1,0,0,0,5923.57,1,1975-12-15,202,0,1,1,0,1,19,61
57641,1015032,1,0,0,0,6808.07,1,1945-02-01,201,0,1,0,1,0,27,72
54005,1015022,1,0,0,0,5931.08,1,1999-09-01,93,1,1,0,1,0,11,51
58585,1015022,1,0,0,0,5931.08,1,1999-09-01,105,1,0,0,0,0,10,40
58848,1015022,1,0,0,0,5931.08,1,1999-09-01,170,0,1,1,1,1,22,65
61908,1015022,1,0,0,0,5931.08,1,1999-09-01,113,1,0,0,1,1,10,42
49790,1015052,1,0,0,0,6860.13,0,1991-10-25,193,1,1,0,1,0,25,56
22686,1015062,1,0,0,0,7126.03,0,1999-09-01,273,0,1,1,1,0,24,71
22704,1015062,1,0,0,0,7126.03,0,1999-09-01,49,0,1,0,0,0,10,68
28219,1015072,1,0,0,0,5506.39,1,1945-09-01,163,1,1,1,0,0,10,49
34709,1015082,1,0,0,0,6468.66,1,1999-09-01,137,0,1,0,1,0,14,48
83525,1015082,1,0,0,0,6468.66,1,1999-09-01,119,0,1,1,1,0,17,56
121702,1015092,1,0,0,0,5194.19,0,1999-09-01,144,1,1,0,0,0,13,55
112172,1016032,1,0,0,0,5365.63,1,1939-01-01,303,1,1,0,0,0,26,56
90073,1016022,1,0,0,0,5137.83,0,2005-09-01,285,0,0,1,0,1,23,56
29141,1016042,1,0,0,0,6326.29,1,1999-09-01,393,0,1,1,0,1,40,39
84174,1016052,1,0,0,0,7582.72,0,1999-09-01,120,1,1,0,0,1,14,56
70106,1016062,1,0,0,0,7307.24,0,2000-09-01,562,0,1,1,1,1,55,68
69487,1016072,1,0,0,0,5577.52,1,1963-05-01,327,1,1,0,0,1,43,75
69489,1016072,1,0,0,0,5577.52,1,1808-10-02,152,1,1,1,0,1,16,55
29539,1016082,1,0,0,0,6115.93,1,2012-09-01,328,1,1,0,1,0,43,56
29349,1016011,0,1,0,0,5085.03,1,1918-09-01,886,0,1,0,0,1,106,75
29351,1016011,0,1,0,0,5085.03,1,1962-09-01,257,0,0,1,0,1,15,79
29353,1016011,0,1,0,0,5085.03,1,2011-09-01,363,0,1,1,0,1,52,61
29355,1016011,0,1,0,0,5085.03,1,1959-09-01,466,0,1,1,0,1,76,67
29356,1016011,0,1,0,0,5085.03,1,1961-09-01,462,0,0,1,0,1,63,49
29357,1016011,0,1,0,0,5085.03,1,1968-09-23,389,0,1,1,0,1,45,60
103656,1016011,0,1,0,0,5085.03,1,1977-09-01,367,0,1,0,0,1,24,70
103658,1016011,0,1,0,0,5085.03,1,1983-09-01,828,1,1,1,0,1,76,68
133525,1016011,0,1,0,0,5085.03,1,2017-09-01,468,0,1,0,1,0,21,82
133526,1016011,0,1,0,0,5085.03,1,2017-09-01,272,0,1,1,0,1,21,66
133527,1016011,0,1,0,0,5085.03,1,2017-09-01,294,0,1,0,0,1,37,58
31467,1016092,1,0,0,0,6019.39,1,1915-09-01,263,0,1,1,1,1,28,64
40620,1016092,1,0,0,0,6019.39,1,1903-09-01,199,0,1,0,0,0,25,66
72854,1016092,1,0,0,0,6019.39,1,1909-09-01,108,1,1,0,0,1,24,64
90125,1016102,1,0,0,0,7087.65,0,2007-09-01,269,1,1,0,1,1,18,65
90158,1016102,1,0,0,0,7087.65,1,2007-09-01,449,0,1,0,1,1,49,65
105711,1016112,1,0,0,0,6300.0,1,1983-03-31,410,1,0,0,0,0,35,55
34402,1017012,1,0,0,0,5773.33,1,1999-09-01,270,1,1,0,0,0,25,49
34404,1017012,1,0,0,0,5773.33,0,1999-09-01,118,0,1,0,0,0,10,58
61591,1017022,1,0,0,0,4526.52,1,1999-09-01,294,0,1,0,0,0,38,56
90015,1017032,1,0,0,0,5436.79,1,1999-09-01,259,1,1,0,0,1,25,67
92189,1017042,1,0,0,0,5536.97,0,1999-09-01,190,0,1,0,1,1,18,72
92191,1017042,1,0,0,0,5536.97,0,1999-09-01,129,0,1,1,1,1,10,66
92192,1017042,1,0,0,0,5536.97,0,1999-09-01,62,0,1,0,1,1,14,63
92193,1017042,1,0,0,0,5536.97,0,1999-09-01,73,0,1,1,1,1,11,61
27673,1017052,1,0,0,0,6301.37,1,1959-09-17,363,1,1,0,0,1,39,54
79269,1017062,1,0,0,0,5271.14,0,1914-09-01,160,1,1,1,1,1,16,48
40832,1017072,1,0,0,0,5075.36,1,1996-01-01,146,0,1,0,0,1,17,48
40923,1017072,1,0,0,0,5075.36,1,1996-09-01,204,0,1,0,0,1,23,67
40942,1017072,1,0,0,0,5075.36,0,1996-09-01,135,0,1,0,0,0,20,55
85364,1017082,1,0,0,0,5822.99,1,1999-09-01,277,1,1,1,1,1,35,65
13608,1017102,1,0,0,0,5229.58,1,1976-01-01,171,0,1,0,1,0,16,62
13755,1017102,1,0,0,0,5229.58,1,1985-01-01,135,0,1,0,1,0,19,72
13767,1017102,1,0,0,0,5229.58,1,1985-01-01,138,0,1,0,0,0,24,65
13917,1017102,1,0,0,0,5229.58,0,2009-09-01,150,1,1,1,1,1,12,58
105703,1018012,1,0,0,0,5063.56,0,1964-09-01,144,0,1,0,0,1,14,74
92997,1018022,1,0,0,0,5020.79,0,1959-09-27,98,1,1,0,0,0,12,65
121960,1018022,1,0,0,0,5020.79,0,1951-11-03,216,0,1,0,0,1,16,55
80214,1018032,1,0,0,0,5656.85,1,1999-09-01,227,0,1,1,1,1,16,61
